Region,School,Club Name,Club Link,Main Contact (Discord),Status,Discord Role ID,Acronym
Midwest,Illinois State University,Game Development Club,https://redbirdlife.illinoisstate.edu/organization/gdc,arnoldkr,In The Discord,1483579445712261220,
Midwest,Michigan State University,Spartasoft,https://gamedev.msu.edu/spartasoft/,,In The Discord,1516958427836973258,
Northeast,Drexel University,Drexel Game Developers Group,https://drexel.campuslabs.com/engage/organization/drexel-game-developers-group,akoreyu,In The Discord,1483308261611405332,
Northeast,Brown University,Brown RISD Game Developers,https://brownrisd.games/,,In The Discord,1483579199338975412,
Northeast,Rhode Island School of Design,Brown RISD Game Developers,https://brownrisd.games/,,In The Discord,1483579199338975412,
Northeast,Yale University,Amoriem Labs,https://amoriem-labs.github.io/,,In The Discord,1514005580522590359,
Northeast,Long Island University,Creative Technology Club,https://www.instagram.com/liugamedevclub/,,In The Discord,1512276907285151976,
Northeast,University of Pennsylvania,UPGRADE,https://pennupgrade.com/,charwang,In The Discord,1483307782383079524,
Northeast,University of Hartford,UHart Game Development Club,https://hartford.presence.io/organization/game-development-club,,In The Discord,1514671328244928512,
Northeast,Columbia University in the City of New York,Columbia Game Development,https://cugg.studentgroups.columbia.edu/programs/game-dev,,In The Discord,1483309279539888323,
Northeast,Rochester Institute of Technology,RIT Game Developers Club,https://ritgamedev.club/,,In The Discord,1483308192195674112,
Northeast,Rensselaer Polytechnic Institute,RPI Game Dev Club,https://gamedev.union.rpi.edu/,,In The Discord,1483308208851255357,
Northeast,Massachusetts Institute of Technology,MIT Game Developers Guild,https://gdg.mit.edu/,cinnamew,In The Discord,1483308146574229504,
Northeast,Carnegie Mellon University,Game Creation Society,https://www.gamecreation.org/,doble_jota_,In The Discord,1483309026145079350,
Northeast,Yeshiva University,Game Design Community,,calverin,In The Discord,1514438508029284527,
Northeast,Clark University,IGDA Clark,https://www.instagram.com/igdaclark/,,In The Discord,1493785989351735396,
Northeast,Boston University,BU Game Design,https://www.instagram.com/bugamedesign/,,In The Discord,1483943811347382324,
Northeast,Schenectady County Community College,Gaming Club,https://sunysccc.edu/Current-Students/Student-Life-and-Resources/Clubs-and-Organizations/Gaming.html,,In The Discord,1512278600861089872,
Southeast,Georgia State University,PantherDev Development Club,https://pin.gsu.edu/organization/pantherdev-game-development-club,,In The Discord,1485815121849614436,
Southeast,High Point University,HPU Game Development Club,https://www.instagram.com/hpugamedevclub/,wilfredtheboss,In The Discord,1483308398928986177,
Southeast,Johns Hopkins University,Hopkins Game Dev Society,https://www.hopkinsgamedevsociety.com/,,In The Discord,1483309337635197098,
Southeast,Georgia Institute of Technology-Main Campus,VGDev,https://www.gtvgdev.com/,,In The Discord,1483579049568637029,
Southeast,Duke University,"Duke Programming, Arts, and Design",https://duke.campusgroups.com/dpad/home/,,In The Discord,1483307810400895038,
Southeast,Florida State University,DevLUp FSU,https://fsu.devlup.org/,,In The Discord,1512278857648967912,
Southwest,Northern Arizona University,Game Design Club,https://scecareer.nau.edu/organizations/game-design-club/,ninwu,In The Discord,1485110588467318894,
Southwest,University of Advancing Technology,International Game Developers Association UAT Student Chapter,https://blog.uat.edu/wyverns-gaming-esports-club?_gl=1*ffwxmy*_gcl_au*MjMwMTgzNjE2LjE3ODE3NTQxNTk.&_ga=2.171445608.916039654.1781754310-1477083053.1781754310,,In The Discord,1485110911793365082,
Southwest,Arizona State University Campus Immersion,Video Game Development Club at ASU,https://sundevilcentral.eoss.asu.edu/vgdc/home/,christmasdecor,In The Discord,1484656900053139526,
Southwest,The University of Texas at Dallas,Student Game Developer Association,https://utdsgda.club/,,In The Discord,1483308169076805652,
Southwest,University of Arizona,Game Dev Club,https://infosci.arizona.edu/game-dev-club,,In The Discord,1486554157531005008,
Southwest,Grand Canyon University,,,,Haven't Reached Out,,
West ,San Francisco Conservatory of Music,Game Audio Club,,eliastd,In The Discord,1484061664369180805,
West ,San Jose State University,SJSU Game Dev Club,https://sjsugamedev.com/,robyn47,In The Discord,1483307900100149288,
West ,University of Utah,GameCraft at University of Utah,https://www.instagram.com/gamecraft_at_uofu/,,In The Discord,1483308441228546068,
West ,Otis College of Art and Design,Otis Game Jam Club,,cornycopeia,In The Discord,1484034924226023557,
West ,University of California-Davis,Game Development & Arts Club,https://aggielife.ucdavis.edu/gamedevelopmentandartsclub/home/,,In The Discord,1484061544500301945,
West ,University of California-Berkeley,GDD at Berkeley,https://gamedesign.studentorg.berkeley.edu/,,In The Discord,1483307827333169223,
